Set number,Card name,Rarity,Value,IOS,IOS duplicate
210,Aegislash,IR,3,5,2
211,Aipom,IR,2.8,2,2
212,Loudred,IR,3.5,2,2
213,Swablu,IR,3.9,3,2
214,PorygonZ,IR,3,3,2
215,Cyclizar,IR,1.8,3,2
216,Iron Jugulis,IR,1.8,2,2
217,Froslass ex,UR,2.4,2,2
218,Armarouge ex,UR,2.4,5,2
219,Garchomp ex,UR,6.3,3,2
220,Tsareena ex,UR,3,2,2
221,Golisopod ex,UR,2,3,2
222,Tapu Koko ex,UR,2,2,2
223,Iron Hands ex,UR,16,3,2
224,Cofagrigus ex,UR,2,2,2
225,Iron Valiant ex,UR,4.5,3,2
226,Hoopa ex,UR,4,2,2
227,Toxtricity ex,UR,2,2,2
228,Sandy Shocks ex,UR,3.5,3,2
229,Roaring Moon ex,UR,12,3,2
230,Aegislash ex,UR,2.5,3,2
231,Gholdengo ex,UR,4.5,2,2
232,Altaria ex,UR,2.8,2,2
233,Maushold ex,UR,2.8,3,2
234,Bombirdier ex,UR,2.5,2,2
235,Larry,UR,2,2,2
236,Mela,UR,5,2,2
237,Norman,UR,2,2,2
238,Parasol Lady,UR,6.6,2,2
239,Professor Sadas Vitality,UR,9,2,2
240,Professor Turos Scenario,UR,5,2,2
241,Rika,UR,2.4,2,2
242,Roark,UR,1,2,2
243,Shauntal,UR,2.3,2,2
244,Tulip,UR,3.5,2,2
245,Garchomp ex,SIR,15,3,2
246,Golisopod ex,SIR,8.4,3,2
247,Tapu Koko ex,SIR,9,2,2
248,Iron Hands ex,SIR,23,3,2
249,Iron Valiant ex,SIR,24,3,2
250,Sandy Shocks ex,SIR,6,3,2
251,Roaring Moon ex,SIR,48,3,2
252,Gholdengo ex,SIR,17.5,2,2
253,Altaria ex,SIR,30,3,2
254,Mela,SIR,6.4,2,2
255,Parasol Lady,SIR,14,2,2
256,Professor Sadas Vitality,SIR,11.5,2,2
257,Professor Turos Scenario,SIR,7,2,2
258,Rika,SIR,5.3,2,2
259,Tulip,SIR,6,2,2
260,Garchomp ex,HR,7,3,2
261,Iron Valiant ex,HR,4.7,3,2
262,Roaring Moon ex,HR,5.4,3,2
263,Beach Court,HR,3,2,2
264,Counter Catcher,HR,8,2,2
265,Luxurious Cape,HR,2.8,2,2
266,Reversal Energy,HR,2.8,2,2
